,model,step,restart,candidate,result,best_f,steps_to_best_f,peak_memory,runtime_ms
0,BoBn,0,0,"{'x5': 0.9965815271862424, 'x1': 2.2032312591602126, 'x4': 1.1138853241022653, 'x3': 1.2851076120751022, 'x2': 1.5708249919144317}",4.495931625366211,4.495931625366211,0,152654848,14.052942991256714
1,BoBn,1,0,"{'x5': 0.9965818213766389, 'x1': 2.203242494199788, 'x4': 1.1138845923835656, 'x3': 1.2851073550945915, 'x2': 1.5708251030427913}",4.495838165283203,4.495931625366211,0,152152576,20.23135280609131
2,BoBn,2,0,"{'x5': 0.9965816808810518, 'x1': 2.2031958568688097, 'x4': 1.1138844281058706, 'x3': 1.2851074319531135, 'x2': 1.5708252112545684}",4.495879650115967,4.495931625366211,0,154401280,17.888208389282227
3,BoBn,3,0,"{'x5': 0.9965819069565599, 'x1': 2.2031967309273477, 'x4': 1.1138839181670528, 'x3': 1.2851071119757893, 'x2': 1.570824976869801}",4.495866775512695,4.495931625366211,0,152711680,19.92200756072998
4,BoBn,4,0,"{'x5': 0.9965820979666967, 'x1': 2.2031975572526585, 'x4': 1.1138834149729004, 'x3': 1.2851072173320564, 'x2': 1.5708247290275617}",4.495842456817627,4.495931625366211,0,153796608,12.771425247192383
5,BoBn,5,0,"{'x5': 0.996582214446019, 'x1': 2.203228460612419, 'x4': 1.1138830243202833, 'x3': 1.2851068977367317, 'x2': 1.5708250967970896}",4.4958343505859375,4.495931625366211,0,152796672,14.319472074508667
6,BoBn,6,0,"{'x5': 0.9965824958789444, 'x1': 2.2031991558175164, 'x4': 1.113882456107351, 'x3': 1.2851067509466452, 'x2': 1.570824811667953}",4.495776176452637,4.495931625366211,0,153217024,15.117735147476196
7,BoBn,7,0,"{'x5': 0.9965827867672149, 'x1': 2.2031998605004217, 'x4': 1.1138819300590803, 'x3': 1.285106749614861, 'x2': 1.570824407130322}",4.495898723602295,4.495931625366211,0,154464256,12.137726783752441
8,BoBn,8,0,"{'x5': 0.9965829788124304, 'x1': 2.203200661292707, 'x4': 1.1138814013247729, 'x3': 1.2851066087876326, 'x2': 1.5708241136455083}",4.495926856994629,4.495931625366211,0,153055232,10.70266342163086
9,BoBn,9,0,"{'x5': 0.9965831748703345, 'x1': 2.20320139043953, 'x4': 1.1138807771847778, 'x3': 1.285106526139156, 'x2': 1.5708240994684672}",4.495908260345459,4.495931625366211,0,153690112,12.741262674331665
10,BoBn,10,0,"{'x5': 0.9965834807632522, 'x1': 2.203202173221485, 'x4': 1.1138807085255304, 'x3': 1.285106470597582, 'x2': 1.5708234728824866}",4.495890140533447,4.495931625366211,0,155947520,8.237012147903442
11,BoBn,11,0,"{'x5': 0.9965836380842619, 'x1': 2.2032028758572064, 'x4': 1.1138799392307879, 'x3': 1.2851063318906848, 'x2': 1.5708227692418615}",4.495870113372803,4.495931625366211,0,155530240,15.258729696273804
12,BoBn,12,0,"{'x5': 0.9965837435340914, 'x1': 2.203203556134122, 'x4': 1.1138794191692283, 'x3': 1.2851062601501886, 'x2': 1.5708238712118712}",4.495956897735596,4.495956897735596,12,156307456,9.949926614761353
13,BoBn,13,0,"{'x5': 0.9965840371972793, 'x1': 2.203204327580263, 'x4': 1.1138789718354936, 'x3': 1.285106141825994, 'x2': 1.5708237160731933}",4.4958672523498535,4.495956897735596,12,154923520,17.252527236938477
14,BoBn,14,0,"{'x5': 0.9965840410742526, 'x1': 2.2032050593750117, 'x4': 1.1138783730080153, 'x3': 1.2851060782481911, 'x2': 1.5708235014255167}",4.4959235191345215,4.495956897735596,12,156263424,14.342121362686157
15,BoBn,15,0,"{'x5': 0.9965842296357, 'x1': 2.203205826824594, 'x4': 1.113878156310637, 'x3': 1.2851058999207692, 'x2': 1.5708234101063119}",4.495873928070068,4.495956897735596,12,156388352,6.301906108856201
16,BoBn,16,0,"{'x5': 0.9965846619308772, 'x1': 2.203206475623183, 'x4': 1.1138781996996472, 'x3': 1.2851058006864555, 'x2': 1.5708232990343631}",4.495738983154297,4.495956897735596,12,156216832,14.005552291870117
17,BoBn,17,0,"{'x5': 0.9965846334051965, 'x1': 2.203207103016952, 'x4': 1.113876852846071, 'x3': 1.2851057110902675, 'x2': 1.570823226897055}",4.495837211608887,4.495956897735596,12,158126080,10.974882364273071
18,BoBn,18,0,"{'x5': 0.9965848609301484, 'x1': 2.2032076675544534, 'x4': 1.113876374831195, 'x3': 1.2851055242904306, 'x2': 1.5708417949177362}",4.495945453643799,4.495956897735596,12,157495808,22.56573462486267
19,BoBn,19,0,"{'x5': 0.9965849771963883, 'x1': 2.2032083453931732, 'x4': 1.1138758908754103, 'x3': 1.2851054501653254, 'x2': 1.570816745652166}",4.4957709312438965,4.495956897735596,12,157639680,19.181766510009766
20,BoBn,20,0,"{'x5': 0.9965853833129268, 'x1': 2.203208918506742, 'x4': 1.1138756340123956, 'x3': 1.2851053343960135, 'x2': 1.570822960912101}",4.495838642120361,4.495956897735596,12,157898752,6.636877775192261
21,BoBn,21,0,"{'x5': 0.9965853387885492, 'x1': 2.20320947754834, 'x4': 1.1138751822801305, 'x3': 1.2851052403450212, 'x2': 1.5708226575514974}",4.4959564208984375,4.495956897735596,12,158724096,12.379842519760132
22,BoBn,22,0,"{'x5': 0.9965854660810372, 'x1': 2.203209997362247, 'x4': 1.1138747150986197, 'x3': 1.2851050919189808, 'x2': 1.5708225830596054}",4.4960479736328125,4.4960479736328125,22,158074368,11.28957200050354
23,BoBn,23,0,"{'x5': 0.9965857162004813, 'x1': 2.203210418855655, 'x4': 1.1138742420243184, 'x3': 1.2851049576359042, 'x2': 1.57082253911264}",4.495805740356445,4.4960479736328125,22,158794240,27.59387707710266
24,BoBn,24,0,"{'x5': 0.9965860175742102, 'x1': 2.2032109452913753, 'x4': 1.1138734948799285, 'x3': 1.2851049089820483, 'x2': 1.5708222424145124}",4.495927333831787,4.4960479736328125,22,159243776,11.777690172195435
25,BoBn,25,0,"{'x5': 0.9965858467088282, 'x1': 2.203211304231519, 'x4': 1.113873199139356, 'x3': 1.2851047395250572, 'x2': 1.5708224741415786}",4.4957451820373535,4.4960479736328125,22,161103872,12.169773578643799
26,BoBn,26,0,"{'x5': 0.996586377235809, 'x1': 2.2032118300425254, 'x4': 1.1138727566164732, 'x3': 1.2851046737260563, 'x2': 1.5708220897468286}",4.495781898498535,4.4960479736328125,22,159102976,18.93390464782715
27,BoBn,27,0,"{'x5': 0.9965864707734381, 'x1': 2.203212154998298, 'x4': 1.1138722601039375, 'x3': 1.285104599889427, 'x2': 1.5708220189752633}",4.495944976806641,4.4960479736328125,22,160159744,17.98506736755371
28,BoBn,28,0,"{'x5': 0.9965867167134774, 'x1': 2.2032125993756653, 'x4': 1.1138721796524136, 'x3': 1.2851044771317601, 'x2': 1.5708218862777117}",4.495851993560791,4.4960479736328125,22,161878016,13.931901931762695
29,BoBn,29,0,"{'x5': 0.9965858772785248, 'x1': 2.2032129186937595, 'x4': 1.1138714935419878, 'x3': 1.2851043450576085, 'x2': 1.570841500055455}",4.495896816253662,4.4960479736328125,22,163340288,10.317326545715332
30,BoBn,30,0,"{'x5': 0.9965869225471006, 'x1': 2.2032132721168973, 'x4': 1.1139348074498898, 'x3': 1.2851042658806948, 'x2': 1.5708415642403701}",4.495921611785889,4.4960479736328125,22,164334080,11.368336200714111
31,BoBn,31,0,"{'x5': 0.9965870498674128, 'x1': 2.2032137353852947, 'x4': 1.1138704421600942, 'x3': 1.2851039538595508, 'x2': 1.5708415731366994}",4.495853424072266,4.4960479736328125,22,164000256,12.578874826431274
32,BoBn,32,0,"{'x5': 0.9965874594935051, 'x1': 2.203214014319847, 'x4': 1.1138688373095884, 'x3': 1.285104058359883, 'x2': 1.5708416168944146}",4.495798587799072,4.4960479736328125,22,164896768,8.274059057235718
33,BoBn,33,0,"{'x5': 0.9965877249483956, 'x1': 2.203214280469561, 'x4': 1.1139364743417477, 'x3': 1.2851039522977485, 'x2': 1.5708415554853605}",4.495851516723633,4.4960479736328125,22,163566592,12.26018762588501
34,BoBn,34,0,"{'x5': 0.9965877121271842, 'x1': 2.2032145589442895, 'x4': 1.1138727728200821, 'x3': 1.2851038795989034, 'x2': 1.5708414784564935}",4.495832920074463,4.4960479736328125,22,163947520,11.571845769882202
35,BoBn,35,0,"{'x5': 0.9965877586311457, 'x1': 2.2032149304525794, 'x4': 1.1138688952227853, 'x3': 1.2851037701353192, 'x2': 1.5708414046322858}",4.49580717086792,4.4960479736328125,22,166874112,11.546199321746826
36,BoBn,36,0,"{'x5': 0.9965876744365214, 'x1': 2.203215204049355, 'x4': 1.1138734493546845, 'x3': 1.2851038111231394, 'x2': 1.570841240066907}",4.4957075119018555,4.4960479736328125,22,166526464,11.917354106903076
37,BoBn,37,0,"{'x5': 0.9965879908724704, 'x1': 2.203215405819836, 'x4': 1.1138679116350303, 'x3': 1.2851035947617448, 'x2': 1.5708412487710561}",4.495966911315918,4.4960479736328125,22,165848064,15.224871158599854
38,BoBn,38,0,"{'x5': 0.9965887217022241, 'x1': 2.203215529000729, 'x4': 1.113867513600298, 'x3': 1.2851035625718878, 'x2': 1.570841007665264}",4.495913028717041,4.4960479736328125,22,165955072,19.479087352752686
39,BoBn,39,0,"{'x5': 0.9965883222033636, 'x1': 2.2032158000559745, 'x4': 1.1138664766894877, 'x3': 1.285103454246994, 'x2': 1.5708409667087513}",4.495931625366211,4.4960479736328125,22,166222336,8.145357370376587
40,BoBn,40,0,"{'x5': 0.9965884759523674, 'x1': 2.203215911559099, 'x4': 1.1138666222819473, 'x3': 1.2851034202077565, 'x2': 1.5708407625269445}",4.495882987976074,4.4960479736328125,22,166422528,18.57503366470337
41,BoBn,41,0,"{'x5': 0.996588688739055, 'x1': 2.203216081280204, 'x4': 1.1138662272412962, 'x3': 1.28510345856091, 'x2': 1.570834996233751}",4.49601411819458,4.4960479736328125,22,168626688,13.46573519706726
42,BoBn,42,0,"{'x5': 0.9965894589608003, 'x1': 2.2032162522025627, 'x4': 1.1138657677362236, 'x3': 1.2851034401845602, 'x2': 1.570819644064165}",4.4959821701049805,4.4960479736328125,22,168105984,15.490473747253418
43,BoBn,43,0,"{'x5': 0.9965889946551323, 'x1': 2.203216388799506, 'x4': 1.1138653377736036, 'x3': 1.285103559734823, 'x2': 1.5708201943133524}",4.4959893226623535,4.4960479736328125,22,167832576,14.222790241241455
44,BoBn,44,0,"{'x5': 0.9965892333814242, 'x1': 2.203216559224143, 'x4': 1.1138648296059919, 'x3': 1.2851254669864778, 'x2': 1.5708196328964255}",4.495635986328125,4.4960479736328125,22,168500224,21.146624326705933
45,BoBn,45,0,"{'x5': 0.9965892231562793, 'x1': 2.203216717814584, 'x4': 1.1138644393912207, 'x3': 1.285104387947361, 'x2': 1.57081988095331}",4.496191501617432,4.496191501617432,45,168905216,11.572703838348389
