,Restart,Strategy,Likelihood,Score,Runtime,MaxDim,LogLikelihood
0,0,NoCompress,151.12049566913026,157.58788996591886,256.36979508399963,6,5.018077503158298
1,0,Ranker5,63.73025591719215,66.39944570934668,209.72496056556702,5,4.154659424965279
2,0,Ranker10,81.67757530605505,85.82685846360785,233.98644018173218,4,4.402779488132432
3,0,Ranker15,105.37712559239884,109.7509902994903,235.50707745552063,4,4.657545587813936
4,0,Pca,142.129545006425,145.7469926453904,233.6956992149353,5,4.956738930496412
5,1,NoCompress,151.12049566913026,157.58788996591886,250.5800416469574,6,5.018077503158298
6,1,Ranker5,63.73025591719215,66.39944570934668,207.40991878509521,5,4.154659424965279
7,1,Ranker10,81.67757530605505,85.82685846360785,224.76597237586975,4,4.402779488132432
8,1,Ranker15,105.37712559239884,109.7509902994903,236.44825172424316,4,4.657545587813936
9,1,Pca,142.129545006425,145.7469926453904,233.52305126190186,5,4.956738930496412
10,2,NoCompress,151.12049566913026,157.58788996591886,250.31202793121338,6,5.018077503158298
11,2,Ranker5,63.73025591719215,66.39944570934668,220.83032536506653,5,4.154659424965279
12,2,Ranker10,81.67757530605505,85.82685846360785,250.71062016487122,4,4.402779488132432
13,2,Ranker15,105.37712559239884,109.7509902994903,261.5840353965759,4,4.657545587813936
14,2,Pca,142.129545006425,145.7469926453904,260.588760137558,5,4.956738930496412
