,name,setting,unit,category,short_desc,extra_desc,context,vartype,source,min_val,max_val,enumvals,boot_val,reset_val,sourcefile,sourceline,pending_restart
0,allow_system_table_mods,off,,Developer Options,Allows modifications of the structure of system tables.,,superuser,bool,default,,,,off,off,,,False
1,application_name,,,Reporting and Logging / What to Log,Sets the application name to be reported in statistics and logs.,,user,string,default,,,,,,,,False
2,archive_cleanup_command,,,Write-Ahead Log / Archive Recovery,Sets the shell command that will be executed at every restart point.,,sighup,string,default,,,,,,,,False
3,archive_command,(disabled),,Write-Ahead Log / Archiving,Sets the shell command that will be called to archive a WAL file.,,sighup,string,default,,,,,,,,False
4,archive_mode,off,,Write-Ahead Log / Archiving,Allows archiving of WAL files using archive_command.,,postmaster,enum,default,,,"['always', 'on', 'off']",off,off,,,False
5,archive_timeout,0,s,Write-Ahead Log / Archiving,Forces a switch to the next WAL file if a new file has not been started within N seconds.,,sighup,integer,default,0,1073741823,,0,0,,,False
6,array_nulls,on,,Version and Platform Compatibility / Previous PostgreSQL Versions,Enable input of NULL elements in arrays.,"When turned on, unquoted NULL in an array input value means a null value; otherwise it is taken literally.",user,bool,default,,,,on,on,,,False
7,authentication_timeout,60,s,Connections and Authentication / Authentication,Sets the maximum allowed time to complete client authentication.,,sighup,integer,default,1,600,,60,60,,,False
8,autovacuum,on,,Autovacuum,Starts the autovacuum subprocess.,,sighup,bool,default,,,,on,on,,,False
9,autovacuum_analyze_scale_factor,0.1,,Autovacuum,"Number of tuple inserts, updates, or deletes prior to analyze as a fraction of reltuples.",,sighup,real,default,0,100,,0.1,0.1,,,False
10,autovacuum_analyze_threshold,50,,Autovacuum,"Minimum number of tuple inserts, updates, or deletes prior to analyze.",,sighup,integer,default,0,2147483647,,50,50,,,False
11,autovacuum_freeze_max_age,200000000,,Autovacuum,Age at which to autovacuum a table to prevent transaction ID wraparound.,,postmaster,integer,default,100000,2000000000,,200000000,200000000,,,False
12,autovacuum_max_workers,3,,Autovacuum,Sets the maximum number of simultaneously running autovacuum worker processes.,,postmaster,integer,default,1,262143,,3,3,,,False
13,autovacuum_multixact_freeze_max_age,400000000,,Autovacuum,Multixact age at which to autovacuum a table to prevent multixact wraparound.,,postmaster,integer,default,10000,2000000000,,400000000,400000000,,,False
14,autovacuum_naptime,60,s,Autovacuum,Time to sleep between autovacuum runs.,,sighup,integer,default,1,2147483,,60,60,,,False
15,autovacuum_vacuum_cost_delay,2,ms,Autovacuum,"Vacuum cost delay in milliseconds, for autovacuum.",,sighup,real,default,-1,100,,2,2,,,False
16,autovacuum_vacuum_cost_limit,-1,,Autovacuum,"Vacuum cost amount available before napping, for autovacuum.",,sighup,integer,default,-1,10000,,-1,-1,,,False
17,autovacuum_vacuum_insert_scale_factor,0.2,,Autovacuum,Number of tuple inserts prior to vacuum as a fraction of reltuples.,,sighup,real,default,0,100,,0.2,0.2,,,False
18,autovacuum_vacuum_insert_threshold,1000,,Autovacuum,"Minimum number of tuple inserts prior to vacuum, or -1 to disable insert vacuums.",,sighup,integer,default,-1,2147483647,,1000,1000,,,False
19,autovacuum_vacuum_scale_factor,0.2,,Autovacuum,Number of tuple updates or deletes prior to vacuum as a fraction of reltuples.,,sighup,real,default,0,100,,0.2,0.2,,,False
20,autovacuum_vacuum_threshold,50,,Autovacuum,Minimum number of tuple updates or deletes prior to vacuum.,,sighup,integer,default,0,2147483647,,50,50,,,False
21,autovacuum_work_mem,-1,kB,Resource Usage / Memory,Sets the maximum memory to be used by each autovacuum worker process.,,sighup,integer,default,-1,2147483647,,-1,-1,,,False
22,backend_flush_after,0,8kB,Resource Usage / Asynchronous Behavior,Number of pages after which previously performed writes are flushed to disk.,,user,integer,default,0,256,,0,0,,,False
23,backslash_quote,safe_encoding,,Version and Platform Compatibility / Previous PostgreSQL Versions,"Sets whether ""\'"" is allowed in string literals.",,user,enum,default,,,"['safe_encoding', 'on', 'off']",safe_encoding,safe_encoding,,,False
24,backtrace_functions,,,Developer Options,Log backtrace for errors in these functions.,,superuser,string,default,,,,,,,,False
25,bgwriter_delay,200,ms,Resource Usage / Background Writer,Background writer sleep time between rounds.,,sighup,integer,default,10,10000,,200,200,,,False
26,bgwriter_flush_after,64,8kB,Resource Usage / Background Writer,Number of pages after which previously performed writes are flushed to disk.,,sighup,integer,default,0,256,,64,64,,,False
27,bgwriter_lru_maxpages,100,,Resource Usage / Background Writer,Background writer maximum number of LRU pages to flush per round.,,sighup,integer,default,0,1073741823,,100,100,,,False
28,bgwriter_lru_multiplier,2,,Resource Usage / Background Writer,Multiple of the average buffer usage to free per round.,,sighup,real,default,0,10,,2,2,,,False
29,block_size,8192,,Preset Options,Shows the size of a disk block.,,internal,integer,default,8192,8192,,8192,8192,,,False
30,bonjour,off,,Connections and Authentication / Connection Settings,Enables advertising the server via Bonjour.,,postmaster,bool,default,,,,off,off,,,False
31,bonjour_name,,,Connections and Authentication / Connection Settings,Sets the Bonjour service name.,,postmaster,string,default,,,,,,,,False
32,bytea_output,hex,,Client Connection Defaults / Statement Behavior,Sets the output format for bytea.,,user,enum,default,,,"['escape', 'hex']",hex,hex,,,False
33,check_function_bodies,on,,Client Connection Defaults / Statement Behavior,Check routine bodies during CREATE FUNCTION and CREATE PROCEDURE.,,user,bool,default,,,,on,on,,,False
34,checkpoint_completion_target,0.9,,Write-Ahead Log / Checkpoints,"Time spent flushing dirty buffers during checkpoint, as fraction of checkpoint interval.",,sighup,real,default,0,1,,0.9,0.9,,,False
35,checkpoint_flush_after,32,8kB,Write-Ahead Log / Checkpoints,Number of pages after which previously performed writes are flushed to disk.,,sighup,integer,default,0,256,,32,32,,,False
36,checkpoint_timeout,300,s,Write-Ahead Log / Checkpoints,Sets the maximum time between automatic WAL checkpoints.,,sighup,integer,default,30,86400,,300,300,,,False
37,checkpoint_warning,30,s,Write-Ahead Log / Checkpoints,Enables warnings if checkpoint segments are filled more frequently than this.,Write a message to the server log if checkpoints caused by the filling of checkpoint segment files happens more frequently than this number of seconds. Zero turns off the warning.,sighup,integer,default,0,2147483647,,30,30,,,False
38,client_connection_check_interval,0,ms,Connections and Authentication / Connection Settings,Sets the time interval between checks for disconnection while running queries.,,user,integer,default,0,2147483647,,0,0,,,False
39,client_encoding,UTF8,,Client Connection Defaults / Locale and Formatting,Sets the client's character set encoding.,,user,string,default,,,,SQL_ASCII,UTF8,,,False
40,client_min_messages,notice,,Client Connection Defaults / Statement Behavior,Sets the message levels that are sent to the client.,"Each level includes all the levels that follow it. The later the level, the fewer messages are sent.",user,enum,default,,,"['debug5', 'debug4', 'debug3', 'debug2', 'debug1', 'log', 'notice', 'warning', 'error']",notice,notice,,,False
41,cluster_name,,,Reporting and Logging / Process Title,"Sets the name of the cluster, which is included in the process title.",,postmaster,string,default,,,,,,,,False
42,commit_delay,0,,Write-Ahead Log / Settings,Sets the delay in microseconds between transaction commit and flushing WAL to disk.,,superuser,integer,default,0,100000,,0,0,,,False
43,commit_siblings,5,,Write-Ahead Log / Settings,Sets the minimum concurrent open transactions before performing commit_delay.,,user,integer,default,0,1000,,5,5,,,False
44,compute_query_id,auto,,Statistics / Monitoring,Compute query identifiers.,,superuser,enum,default,,,"['auto', 'on', 'off']",auto,auto,,,False
45,config_file,/var/lib/postgresql/data/postgresql.conf,,File Locations,Sets the server's main configuration file.,,postmaster,string,override,,,,,/var/lib/postgresql/data/postgresql.conf,,,False
46,constraint_exclusion,partition,,Query Tuning / Other Planner Options,Enables the planner to use constraints to optimize queries.,Table scans will be skipped if their constraints guarantee that no rows match the query.,user,enum,default,,,"['partition', 'on', 'off']",partition,partition,,,False
47,cpu_index_tuple_cost,0.005,,Query Tuning / Planner Cost Constants,Sets the planner's estimate of the cost of processing each index entry during an index scan.,,user,real,default,0,1.79769e+308,,0.005,0.005,,,False
48,cpu_operator_cost,0.0025,,Query Tuning / Planner Cost Constants,Sets the planner's estimate of the cost of processing each operator or function call.,,user,real,default,0,1.79769e+308,,0.0025,0.0025,,,False
49,cpu_tuple_cost,0.01,,Query Tuning / Planner Cost Constants,Sets the planner's estimate of the cost of processing each tuple (row).,,user,real,default,0,1.79769e+308,,0.01,0.01,,,False
50,cursor_tuple_fraction,0.1,,Query Tuning / Other Planner Options,Sets the planner's estimate of the fraction of a cursor's rows that will be retrieved.,,user,real,default,0,1,,0.1,0.1,,,False
51,data_checksums,off,,Preset Options,Shows whether data checksums are turned on for this cluster.,,internal,bool,override,,,,off,off,,,False
52,data_directory,/var/lib/postgresql/data,,File Locations,Sets the server's data directory.,,postmaster,string,override,,,,,/var/lib/postgresql/data,,,False
