,peak_memory,runtime_seconds,restart_id,observations
0,209535488,8.670559406280518,0,10
1,206657536,5.824294328689575,1,10
2,208350208,7.350494623184204,2,10
3,210280448,17.88991355895996,0,10
4,229534720,34.121161460876465,1,10
5,208842240,15.857388734817505,2,10
6,210365440,34.35768914222717,0,10
7,213386240,36.59196853637695,1,10
8,215625216,39.596954584121704,2,10
9,215821312,69.23292112350464,0,10
10,216423936,65.32504272460938,1,10
11,250955264,114.6895260810852,2,10
12,2026789376,1000.0705111026764,0,10
13,1891594752,920.8770868778229,1,10
14,2014779392,1022.322767496109,2,10
15,222695936,5.632853746414185,0,100
16,226140672,5.194320440292358,1,100
17,222192128,4.804011106491089,2,100
18,1376243712,46.27728605270386,0,100
19,1782816256,50.313302755355835,1,100
20,1364287488,43.88969326019287,2,100
21,1627499008,92.34711623191833,0,100
22,1669626880,93.88170266151428,1,100
23,1663342592,90.36734342575073,2,100
24,1902991360,163.81026577949524,0,100
25,1833404928,168.70537400245667,1,100
26,1793674240,167.64985346794128,2,100
27,-99,363.7180700302124,0,100
28,-99,365.33884286880493,1,100
29,-99,364.18493032455444,2,100
30,414628864,10.77646517753601,0,500
31,-99,5.905435562133789,1,500
32,1537436160,8.253688335418701,2,500
33,2030033920,34.629377603530884,0,500
34,2653830144,25.013264179229736,1,500
35,1114897408,26.440468311309814,2,500
36,-99,29.60402536392212,0,500
37,-99,30.38713049888611,1,500
38,-99,25.226298809051514,2,500
39,-99,42.50302004814148,0,500
40,-99,53.5483558177948,1,500
41,-99,49.87001347541809,2,500
42,-99,444.3096454143524,0,500
43,-99,432.4585702419281,1,500
44,-99,445.4498596191406,2,500
45,1640612864,17.54392123222351,0,1000
46,1333240320,20.978199005126953,1,1000
47,1537259520,27.623016119003296,2,1000
48,2570497536,72.59458780288696,0,1000
49,2610861568,65.1019172668457,1,1000
50,2572576768,76.89883708953857,2,1000
51,-99,92.09823274612427,0,1000
52,-99,95.53662943840027,1,1000
53,-99,103.94147968292236,2,1000
54,-99,153.63703203201294,0,1000
55,-99,162.14424848556519,1,1000
56,-99,182.51082730293274,2,1000
57,-99,1620.4677140712738,0,1000
58,-99,1563.2294821739197,1,1000
59,-99,1584.8583900928497,2,1000
60,-99,2943.653878211975,0,10000
61,-99,2.7165887355804443,1,10000
62,-99,2.6200921535491943,2,10000
63,-99,10466.018230676651,0,10000
64,-99,0.1259157657623291,1,10000
65,-99,0.12624120712280273,2,10000
66,-99,17771.63763308525,0,10000
67,-99,0.13315510749816895,1,10000
68,-99,0.12741756439208984,2,10000
69,-99,36304.70081305504,0,10000
70,-99,0.1263563632965088,1,10000
71,-99,0.1278219223022461,2,10000
