,max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,max_bytes_for_level_multiplier,block_size,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger
0,256,10,130000000,11,2,15.0,29548,229,1,717
1,256,10,130000000,10,2,15.0,37799,227,1,612
2,256,10,130000000,10,2,15.0,36665,230,1,664
3,256,10,130000000,11,2,15.0,30384,229,1,716
4,256,10,130000000,11,2,15.0,30630,229,1,716
5,211,10,130000000,25,5,15.0,54362,189,112,882
6,256,10,130000000,11,2,15.0,30435,229,1,715
7,249,10,130000000,13,2,15.0,18759,218,19,797
8,205,8,130000000,28,5,11.544495332778316,1,215,47,863
9,191,10,130000000,25,5,15.0,55137,234,1,779
10,256,10,130000000,15,2,15.0,39554,227,62,716
11,256,10,130000000,11,2,15.0,30850,229,1,715
12,230,10,130000000,3,1,15.0,116380,237,29,911
13,223,9,130000000,18,3,15.0,45681,214,72,783
14,229,10,130000000,26,6,15.0,61195,230,105,762
15,256,10,130000000,11,2,15.0,29864,229,1,716
16,256,10,130000000,3,1,13.880013340796545,115810,237,27,911
17,256,10,130000000,11,2,15.0,29334,229,1,717
18,256,10,130000000,11,2,15.0,30572,229,1,715
19,256,10,130000000,20,2,15.0,32961,230,90,807
20,256,10,130000000,21,4,14.77693429677591,48849,227,26,837
21,250,10,130000000,6,1,15.0,63478,254,1,978
22,256,9,130000000,2,1,15.0,118325,236,27,910
23,256,10,130000000,11,2,15.0,30248,229,1,717
24,256,10,130000000,11,2,15.0,30451,229,1,716
25,55,3,31374910,77,23,7.442766241426585,330328,111,552,497
26,256,10,130000000,7,2,15.0,33229,229,1,691
27,256,10,130000000,1,1,15.0,106863,256,1,794
28,256,10,130000000,17,2,15.0,36384,229,41,741
29,202,10,130000000,22,6,11.871543416428494,56204,205,1,225
30,256,10,130000000,16,2,15.0,25502,231,23,692
31,256,10,130000000,11,2,15.0,31941,229,1,700
32,256,10,130000000,1,1,15.0,273149,256,1,1024
33,256,10,130000000,11,2,15.0,32937,229,1,688
34,256,10,130000000,11,2,15.0,30084,229,1,719
35,256,10,130000000,11,2,15.0,34606,229,1,669
36,256,10,130000000,10,2,15.0,36545,228,1,639
37,256,10,130000000,11,2,15.0,31302,229,10,712
38,256,10,130000000,19,1,15.0,115971,236,23,911
39,213,10,130000000,35,3,13.735361412754918,42268,226,42,665
40,256,10,130000000,2,1,15.0,143325,229,45,881
41,256,10,130000000,15,2,15.0,48954,225,66,670
42,256,10,130000000,5,2,15.0,32875,229,1,689
43,250,10,130000000,7,1,15.0,1,216,1,807
44,256,10,130000000,11,2,15.0,31665,229,1,705
45,225,10,130000000,18,4,15.0,1,208,76,752
46,256,10,130000000,11,2,15.0,34338,229,1,672
47,195,7,130000000,46,6,14.12742480765375,33527,217,126,716
48,256,10,130000000,17,2,15.0,24315,232,25,668
49,253,10,130000000,35,5,15.0,38022,218,186,528
50,256,10,130000000,17,2,15.0,41834,225,64,798
51,256,10,130000000,11,2,15.0,30435,229,1,717
52,256,10,130000000,11,2,15.0,28893,229,1,720
53,256,10,130000000,1,6,15.0,109472,238,20,915
54,256,10,130000000,11,2,15.0,30428,229,1,714
55,256,10,130000000,1,1,15.0,98731,204,1,921
56,253,10,130000000,56,6,12.597967004182635,59211,196,286,612
57,256,10,130000000,19,1,15.0,38843,229,167,763
58,256,10,130000000,11,2,15.0,29730,229,1,718
59,135,10,130000000,49,5,15.0,10098,204,1,395
60,256,10,130000000,1,1,15.0,102377,239,183,920
61,256,10,130000000,10,2,15.0,38767,231,1,653
62,256,10,130000000,1,1,15.0,138923,256,1,1024
63,213,10,130000000,58,6,12.416249691370663,33413,243,82,258
64,223,10,130000000,24,4,15.0,75291,205,76,608
65,200,10,130000000,64,5,15.0,12779,225,238,1024
66,203,10,97036041,43,6,15.0,1,217,76,745
67,256,10,130000000,11,2,15.0,30109,229,1,716
68,256,10,130000000,13,1,15.0,18232,252,1,908
69,155,10,130000000,36,5,13.28330907362927,71553,221,379,674
70,235,10,130000000,13,3,15.0,39091,219,54,799
71,144,10,130000000,50,6,15.0,27763,210,139,499
72,256,10,130000000,1,1,15.0,500000,256,1,1024
73,256,10,130000000,11,2,15.0,36023,228,1,650
74,256,10,130000000,11,2,15.0,28738,229,1,721
75,146,10,106179564,99,21,7.967880591750145,21756,203,116,61
76,256,10,130000000,19,2,15.0,25766,232,46,706
77,256,10,130000000,11,2,15.0,30886,229,1,713
78,256,10,130000000,18,2,15.0,28262,230,42,805
79,256,10,130000000,11,2,15.0,31181,229,1,708
80,256,10,130000000,15,2,15.0,35979,227,72,739
81,256,10,130000000,19,2,15.0,25518,226,14,789
82,256,10,130000000,11,2,15.0,30291,229,1,719
83,256,10,130000000,16,2,15.0,24777,233,49,764
84,256,10,130000000,11,2,15.0,29983,229,1,718
85,256,10,130000000,17,2,15.0,24005,233,25,654
86,256,10,130000000,17,4,15.0,35836,203,1,698
87,254,10,130000000,5,1,15.0,95191,251,1,964
88,110,10,126423702,103,21,9.240052784130178,1,256,254,419
89,212,10,130000000,68,5,12.751085843980784,67659,213,1,687
90,256,10,130000000,11,2,15.0,29798,229,1,719
91,256,10,130000000,11,2,15.0,29662,229,1,721
92,256,10,130000000,19,2,15.0,44410,227,16,734
93,256,10,130000000,12,2,15.0,34906,229,10,835
94,256,10,130000000,11,2,15.0,30751,229,1,713
95,256,10,113197029,1,1,15.0,120869,235,25,907
96,192,10,130000000,34,6,12.261040467157844,1,219,165,761
97,256,10,130000000,10,2,15.0,35433,229,1,671
98,256,10,130000000,11,2,15.0,29331,229,1,717
99,256,10,130000000,11,2,15.0,31585,229,1,712
100,176,10,130000000,125,17,15.0,398640,162,706,562
101,218,10,130000000,128,21,11.146630046855968,418668,43,829,577
102,226,10,130000000,128,19,14.839060823566047,349662,1,751,522
103,76,10,130000000,128,14,13.804110539333148,373364,18,816,487
104,177,10,130000000,128,20,15.0,434670,89,662,533
105,116,8,130000000,120,18,10.710445670193472,416436,142,150,593
106,70,8,130000000,115,15,12.322023342916065,363161,52,853,390
107,133,9,130000000,122,20,9.500602108618068,362383,107,276,476
108,144,9,130000000,128,15,15.0,423413,98,791,420
109,80,8,130000000,123,18,10.287631137786104,379393,116,42,560
110,125,8,130000000,119,17,14.186759403673964,432982,143,1,596
111,168,9,130000000,121,20,15.0,412050,130,560,641
112,114,10,130000000,114,19,9.656732218832474,421935,119,183,538
113,131,9,130000000,124,21,9.430372657183042,382466,127,159,672
114,83,9,130000000,122,18,8.960678008385887,398942,138,193,577
115,63,7,130000000,120,17,12.068801266754093,369356,1,298,444
116,113,9,130000000,128,19,9.649179553845409,429383,118,176,531
117,50,9,130000000,128,13,12.278075624280532,426750,43,745,374
118,101,7,130000000,128,15,11.945664562788547,400552,40,1024,389
119,56,8,130000000,126,18,12.18488596704555,379486,120,119,562
120,176,10,130000000,128,18,12.962748172825608,334516,45,1024,424
121,116,10,130000000,128,17,9.766709489500762,388694,125,212,565
122,112,10,130000000,128,20,8.658968569008122,413231,122,262,560
123,138,9,130000000,121,20,12.646775953882951,408105,134,671,598
124,103,7,130000000,119,17,15.0,427922,50,640,493
125,67,10,66442310,123,19,9.89492141926539,458261,188,113,787
126,172,10,130000000,127,20,15.0,417675,154,543,579
127,96,10,105641273,128,20,10.356445858922767,409052,159,235,614
128,126,9,130000000,119,19,13.374458369525007,323884,86,1,581
129,174,8,130000000,128,18,15.0,394073,81,878,579
130,86,8,130000000,123,14,15.0,417665,130,225,494
131,123,10,130000000,128,18,15.0,260787,46,1024,420
132,27,10,34169501,110,25,9.503364908104693,499996,225,1,923
133,93,8,130000000,128,16,13.525133094276878,283505,29,898,395
134,80,7,130000000,128,16,15.0,371481,89,543,364
135,170,10,130000000,128,19,11.281929465418356,323780,1,976,488
136,176,10,130000000,128,22,14.381039096417155,368291,1,1024,513
137,31,7,130000000,121,14,15.0,427026,68,1,481
138,99,10,130000000,128,19,9.519189440650381,391780,113,122,501
139,115,10,130000000,128,17,9.465385871849666,279107,1,735,467
140,109,10,130000000,128,22,9.616849962667679,460377,115,152,499
141,152,9,130000000,111,20,11.944533618419062,394440,174,249,693
142,187,10,130000000,128,20,13.085335235421562,376253,176,680,616
143,117,9,130000000,126,19,10.108646226394347,429836,110,324,711
144,18,10,130000000,128,15,11.848655072716635,321117,1,729,342
145,142,9,130000000,123,19,9.711284087017827,437652,147,317,606
146,132,10,130000000,114,19,12.854543408176863,315622,16,1024,517
147,161,8,130000000,125,20,15.0,447615,168,639,588
148,134,9,130000000,128,17,13.839940005897036,391444,179,157,679
149,103,8,130000000,128,18,9.745502100313976,395754,130,127,597
150,157,7,130000000,124,18,14.3103803420652,372254,194,189,568
151,125,9,130000000,123,18,15.0,389633,128,769,516
152,70,7,130000000,125,12,15.0,344831,1,468,434
153,138,10,130000000,128,20,9.997712093305278,416871,119,214,552
154,60,10,130000000,128,13,15.0,364549,62,1024,323
155,105,10,127441389,128,18,9.812738711635884,450606,144,175,605
156,110,8,130000000,117,14,15.0,381221,167,1024,523
157,39,9,130000000,128,16,11.144463050052554,354165,84,35,480
158,122,9,130000000,128,18,15.0,431438,95,557,465
159,171,9,130000000,128,20,14.27059571550984,393512,130,509,608
160,104,10,128152582,128,17,9.948637365000009,446553,132,260,436
161,183,6,130000000,118,21,11.276859694879661,401280,1,749,576
162,93,10,87136034,128,15,10.145754115383362,431516,164,185,700
163,105,4,130000000,110,17,15.0,416957,108,381,627
164,64,8,130000000,128,16,10.292466371221206,428524,139,103,526
165,58,10,130000000,127,14,13.237391838799134,400348,141,1,512
166,53,9,130000000,116,15,15.0,392652,154,139,488
167,55,10,130000000,128,14,11.966615752818294,309736,82,655,414
168,105,9,130000000,121,18,10.539584130345053,407821,121,112,578
169,159,8,130000000,121,17,14.117396649011155,408830,121,343,569
170,105,10,130000000,128,20,9.978687010021005,401785,132,219,529
171,197,9,130000000,116,17,12.219565057131053,483228,175,217,664
172,231,1,130000000,1,1,15.0,1,1,1024,11
173,190,10,130000000,128,21,13.056641797215253,313895,63,748,565
174,184,10,130000000,128,23,15.0,416659,184,527,728
175,64,8,130000000,114,18,10.265263241228022,416418,122,121,485
176,96,8,130000000,128,15,14.504067076537167,420860,66,111,470
177,147,10,130000000,128,19,15.0,446156,135,589,627
178,115,9,130000000,115,17,12.860636811648483,440650,186,225,586
179,62,8,130000000,121,15,12.124402705934965,376130,83,483,474
180,80,8,130000000,113,14,12.817073000900658,366004,128,39,537
181,38,9,130000000,120,17,10.921488978761044,331204,143,1,542
182,81,10,130000000,127,16,15.0,387353,29,503,388
183,166,9,130000000,120,19,13.22099094320257,429233,158,223,596
184,112,9,130000000,115,15,15.0,415186,77,518,502
185,194,8,130000000,128,22,12.517383473827012,398474,135,333,640
186,81,8,130000000,127,17,12.569684671540852,366495,119,14,439
187,127,10,122196408,128,18,9.147429542926448,430023,109,159,535
188,99,10,130000000,128,13,11.988662553571311,357250,17,656,275
189,107,8,130000000,128,15,13.42051222706437,410285,114,172,511
190,71,10,130000000,128,16,9.732819901737434,367472,113,1024,376
191,111,8,130000000,118,15,15.0,440411,1,1024,357
192,127,9,130000000,122,19,12.493518827012593,419898,147,216,552
193,77,9,130000000,118,17,10.849110129569329,409096,122,78,529
194,74,8,120225606,127,14,13.530613840464792,359173,48,796,392
195,134,10,130000000,128,19,9.375049213489714,407971,150,114,447
196,67,9,130000000,122,15,10.726674147279322,384002,118,1,496
197,166,10,130000000,128,20,12.620555982887943,363364,81,1024,524
198,88,10,130000000,128,15,12.640536870685333,354090,25,1013,383
199,196,9,130000000,119,21,15.0,414640,145,565,513
200,210,5,130000000,45,7,7.164155747874338,97080,205,277,1
