,max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,max_bytes_for_level_multiplier,block_size,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger
0,231,8,5678690,97,28,6,201375,55,290,357
1,248,6,120766529,92,14,10,216813,125,423,864
2,196,2,20811914,63,15,6,236110,199,886,255
3,123,6,93646086,99,20,8,461603,242,385,798
4,243,9,27393355,19,3,7,457904,108,920,956
5,138,6,65765837,80,21,13,419814,132,548,829
6,73,2,128955339,126,2,13,279386,202,977,334
7,52,9,65928010,3,22,6,265925,15,157,919
8,7,7,27324197,105,16,6,462159,106,655,622
9,92,4,112637408,15,11,8,219576,113,296,379
10,73,8,56695905,36,29,13,470213,226,923,769
11,127,3,89491609,62,31,14,225020,207,805,85
12,191,6,112489009,123,15,7,320425,50,371,111
13,155,7,125300722,106,5,8,213474,38,579,801
14,116,7,56150728,2,28,11,206528,145,994,869
15,15,4,85059525,126,8,6,447534,160,662,10
16,242,7,111780728,19,28,6,143647,233,826,524
17,147,8,70087885,127,10,13,254110,53,240,441
18,211,6,73421413,50,16,8,99523,15,608,732
19,252,2,18240508,15,27,8,100838,136,529,815
20,111,5,122808135,5,22,11,286426,141,124,284
21,92,4,58265835,10,20,14,174045,6,252,744
22,201,8,91897494,60,22,6,185378,68,780,846
23,3,4,101613952,93,6,6,434555,238,541,860
24,132,9,65365230,69,4,14,360688,41,178,564
25,59,7,82846268,42,19,14,113703,35,226,98
26,254,6,117342439,46,6,12,161163,183,705,938
27,110,5,34231944,125,18,13,415062,122,313,363
28,233,10,113903757,92,2,9,84936,92,54,104
29,63,8,16908816,29,9,9,176805,118,850,346
30,128,3,105547275,79,19,12,271699,153,768,833
31,78,3,88444933,21,18,11,194422,57,470,437
32,65,9,74550952,14,21,5,444128,116,512,238
33,39,7,86258737,66,17,12,377750,230,942,278
34,116,2,61835829,17,1,12,339865,43,285,302
